"Region","year","trips"
"VIC",2001-06-01,18161
"VIC",2002-06-01,17983
"VIC",2003-06-01,18291
"VIC",2004-06-01,17840
"VIC",2005-06-01,17165
"VIC",2006-06-01,17324
"VIC",2007-06-01,17017
"VIC",2008-06-01,17614
"VIC",2009-06-01,16293
"VIC",2010-06-01,16483
"VIC",2011-06-01,17068
"VIC",2012-06-01,17929
"VIC",2013-06-01,17935
"VIC",2014-06-01,19249
"VIC",2015-06-01,20184
"VIC",2016-06-01,21233
"VIC",2017-06-01,23376
"VIC",2018-06-01,25517
"VIC",2019-06-01,29047
"VIC",2020-06-01,22701
"VIC",2021-06-01,16611
"VIC",2022-06-01,19861
"VIC",2023-06-01,27820
"VIC",2024-06-01,28513
"QLD",2001-06-01,15881
"QLD",2002-06-01,16247
"QLD",2003-06-01,16574
"QLD",2004-06-01,16492
"QLD",2005-06-01,17088
"QLD",2006-06-01,16638
"QLD",2007-06-01,17819
"QLD",2008-06-01,17607
"QLD",2009-06-01,16465
"QLD",2010-06-01,16107
"QLD",2011-06-01,16745
"QLD",2012-06-01,17973
"QLD",2013-06-01,17958
"QLD",2014-06-01,18522
"QLD",2015-06-01,19957
"QLD",2016-06-01,20205
"QLD",2017-06-01,21279
"QLD",2018-06-01,22560
"QLD",2019-06-01,25312
"QLD",2020-06-01,20421
"QLD",2021-06-01,20758
"QLD",2022-06-01,21709
"QLD",2023-06-01,25268
"QLD",2024-06-01,25588
"SA",2001-06-01,5653
"SA",2002-06-01,5549
"SA",2003-06-01,5424
"SA",2004-06-01,5802
"SA",2005-06-01,5295
"SA",2006-06-01,5278
"SA",2007-06-01,5352
"SA",2008-06-01,5282
"SA",2009-06-01,4879
"SA",2010-06-01,4891
"SA",2011-06-01,5018
"SA",2012-06-01,5101
"SA",2013-06-01,5220
"SA",2014-06-01,5463
"SA",2015-06-01,5809
"SA",2016-06-01,6128
"SA",2017-06-01,6144
"SA",2018-06-01,6599
"SA",2019-06-01,7404
"SA",2020-06-01,6545
"SA",2021-06-01,6351
"SA",2022-06-01,6011
"SA",2023-06-01,7425
"SA",2024-06-01,7574
"WA",2001-06-01,6192
"WA",2002-06-01,7078
"WA",2003-06-01,6576
"WA",2004-06-01,6517
"WA",2005-06-01,6184
"WA",2006-06-01,6428
"WA",2007-06-01,6648
"WA",2008-06-01,6259
"WA",2009-06-01,5736
"WA",2010-06-01,5026
"WA",2011-06-01,5512
"WA",2012-06-01,6105
"WA",2013-06-01,6601
"WA",2014-06-01,8150
"WA",2015-06-01,9508
"WA",2016-06-01,9980
"WA",2017-06-01,9066
"WA",2018-06-01,9508
"WA",2019-06-01,10598
"WA",2020-06-01,9361
"WA",2021-06-01,9719
"WA",2022-06-01,9789
"WA",2023-06-01,11183
"WA",2024-06-01,11029
"TAS",2001-06-01,1962
"TAS",2002-06-01,1849
"TAS",2003-06-01,2080
"TAS",2004-06-01,2208
"TAS",2005-06-01,2075
"TAS",2006-06-01,2029
"TAS",2007-06-01,2085
"TAS",2008-06-01,2086
"TAS",2009-06-01,1867
"TAS",2010-06-01,1933
"TAS",2011-06-01,1846
"TAS",2012-06-01,1992
"TAS",2013-06-01,2233
"TAS",2014-06-01,2150
"TAS",2015-06-01,2255
"TAS",2016-06-01,2330
"TAS",2017-06-01,2700
"TAS",2018-06-01,2840
"TAS",2019-06-01,3198
"TAS",2020-06-01,2411
"TAS",2021-06-01,2727
"TAS",2022-06-01,2801
"TAS",2023-06-01,2853
"TAS",2024-06-01,3203
"NT",2001-06-01,1183
"NT",2002-06-01,1024
"NT",2003-06-01,1033
"NT",2004-06-01,966
"NT",2005-06-01,1075
"NT",2006-06-01,1003
"NT",2007-06-01,1101
"NT",2008-06-01,1088
"NT",2009-06-01,1097
"NT",2010-06-01,1033
"NT",2011-06-01,911
"NT",2012-06-01,1020
"NT",2013-06-01,956
"NT",2014-06-01,1193
"NT",2015-06-01,1409
"NT",2016-06-01,1544
"NT",2017-06-01,1589
"NT",2018-06-01,1467
"NT",2019-06-01,1651
"NT",2020-06-01,1346
"NT",2021-06-01,1232
"NT",2022-06-01,1276
"NT",2023-06-01,1495
"NT",2024-06-01,1394
"NSW",2001-06-01,28622
"NSW",2002-06-01,28941
"NSW",2003-06-01,29087
"NSW",2004-06-01,28516
"NSW",2005-06-01,26608
"NSW",2006-06-01,26273
"NSW",2007-06-01,26533
"NSW",2008-06-01,26379
"NSW",2009-06-01,24757
"NSW",2010-06-01,25282
"NSW",2011-06-01,26418
"NSW",2012-06-01,26149
"NSW",2013-06-01,27070
"NSW",2014-06-01,28417
"NSW",2015-06-01,29376
"NSW",2016-06-01,31042
"NSW",2017-06-01,32809
"NSW",2018-06-01,36432
"NSW",2019-06-01,40140
"NSW",2020-06-01,32797
"NSW",2021-06-01,32359
"NSW",2022-06-01,26763
"NSW",2023-06-01,39290
"NSW",2024-06-01,40262
