"Region","year","trips","total"
"VIC","2001",18161,77654
"VIC","2002",17983,78671
"VIC","2003",18291,79066
"VIC","2004",17840,78341
"VIC","2005",17165,75489
"VIC","2006",17324,74974
"VIC","2007",17017,76555
"VIC","2008",17614,76316
"VIC","2009",16293,71094
"VIC","2010",16483,70755
"VIC","2011",17068,73518
"VIC","2012",17929,76270
"VIC","2013",17935,77973
"VIC","2014",19249,83144
"VIC","2015",20184,88500
"VIC","2016",21233,92461
"VIC","2017",23376,96963
"VIC","2018",25517,104923
"VIC","2019",29047,117351
"VIC","2020",22701,95584
"VIC","2021",16611,89756
"VIC","2022",19861,88210
"VIC","2023",27820,115335
"VIC","2024",28513,117562
"QLD","2001",15881,77654
"QLD","2002",16247,78671
"QLD","2003",16574,79066
"QLD","2004",16492,78341
"QLD","2005",17088,75489
"QLD","2006",16638,74974
"QLD","2007",17819,76555
"QLD","2008",17607,76316
"QLD","2009",16465,71094
"QLD","2010",16107,70755
"QLD","2011",16745,73518
"QLD","2012",17973,76270
"QLD","2013",17958,77973
"QLD","2014",18522,83144
"QLD","2015",19957,88500
"QLD","2016",20205,92461
"QLD","2017",21279,96963
"QLD","2018",22560,104923
"QLD","2019",25312,117351
"QLD","2020",20421,95584
"QLD","2021",20758,89756
"QLD","2022",21709,88210
"QLD","2023",25268,115335
"QLD","2024",25588,117562
"SA","2001",5653,77654
"SA","2002",5549,78671
"SA","2003",5424,79066
"SA","2004",5802,78341
"SA","2005",5295,75489
"SA","2006",5278,74974
"SA","2007",5352,76555
"SA","2008",5282,76316
"SA","2009",4879,71094
"SA","2010",4891,70755
"SA","2011",5018,73518
"SA","2012",5101,76270
"SA","2013",5220,77973
"SA","2014",5463,83144
"SA","2015",5809,88500
"SA","2016",6128,92461
"SA","2017",6144,96963
"SA","2018",6599,104923
"SA","2019",7404,117351
"SA","2020",6545,95584
"SA","2021",6351,89756
"SA","2022",6011,88210
"SA","2023",7425,115335
"SA","2024",7574,117562
"WA","2001",6192,77654
"WA","2002",7078,78671
"WA","2003",6576,79066
"WA","2004",6517,78341
"WA","2005",6184,75489
"WA","2006",6428,74974
"WA","2007",6648,76555
"WA","2008",6259,76316
"WA","2009",5736,71094
"WA","2010",5026,70755
"WA","2011",5512,73518
"WA","2012",6105,76270
"WA","2013",6601,77973
"WA","2014",8150,83144
"WA","2015",9508,88500
"WA","2016",9980,92461
"WA","2017",9066,96963
"WA","2018",9508,104923
"WA","2019",10598,117351
"WA","2020",9361,95584
"WA","2021",9719,89756
"WA","2022",9789,88210
"WA","2023",11183,115335
"WA","2024",11029,117562
"TAS","2001",1962,77654
"TAS","2002",1849,78671
"TAS","2003",2080,79066
"TAS","2004",2208,78341
"TAS","2005",2075,75489
"TAS","2006",2029,74974
"TAS","2007",2085,76555
"TAS","2008",2086,76316
"TAS","2009",1867,71094
"TAS","2010",1933,70755
"TAS","2011",1846,73518
"TAS","2012",1992,76270
"TAS","2013",2233,77973
"TAS","2014",2150,83144
"TAS","2015",2255,88500
"TAS","2016",2330,92461
"TAS","2017",2700,96963
"TAS","2018",2840,104923
"TAS","2019",3198,117351
"TAS","2020",2411,95584
"TAS","2021",2727,89756
"TAS","2022",2801,88210
"TAS","2023",2853,115335
"TAS","2024",3203,117562
"NT","2001",1183,77654
"NT","2002",1024,78671
"NT","2003",1033,79066
"NT","2004",966,78341
"NT","2005",1075,75489
"NT","2006",1003,74974
"NT","2007",1101,76555
"NT","2008",1088,76316
"NT","2009",1097,71094
"NT","2010",1033,70755
"NT","2011",911,73518
"NT","2012",1020,76270
"NT","2013",956,77973
"NT","2014",1193,83144
"NT","2015",1409,88500
"NT","2016",1544,92461
"NT","2017",1589,96963
"NT","2018",1467,104923
"NT","2019",1651,117351
"NT","2020",1346,95584
"NT","2021",1232,89756
"NT","2022",1276,88210
"NT","2023",1495,115335
"NT","2024",1394,117562
"NSW","2001",28622,77654
"NSW","2002",28941,78671
"NSW","2003",29087,79066
"NSW","2004",28516,78341
"NSW","2005",26608,75489
"NSW","2006",26273,74974
"NSW","2007",26533,76555
"NSW","2008",26379,76316
"NSW","2009",24757,71094
"NSW","2010",25282,70755
"NSW","2011",26418,73518
"NSW","2012",26149,76270
"NSW","2013",27070,77973
"NSW","2014",28417,83144
"NSW","2015",29376,88500
"NSW","2016",31042,92461
"NSW","2017",32809,96963
"NSW","2018",36432,104923
"NSW","2019",40140,117351
"NSW","2020",32797,95584
"NSW","2021",32359,89756
"NSW","2022",26763,88210
"NSW","2023",39290,115335
"NSW","2024",40262,117562
