"state","Area","latitude","longitude","year","trips","night"
"NSW","Sydney",-33.87,151.21,"2001",8636,29046
"NSW","Sydney",-33.87,151.21,"2002",8189,23682
"NSW","Sydney",-33.87,151.21,"2003",8338,23394
"NSW","Sydney",-33.87,151.21,"2004",7999,22781
"NSW","Sydney",-33.87,151.21,"2005",7407,20829
"NSW","Sydney",-33.87,151.21,"2006",7682,22852
"NSW","Sydney",-33.87,151.21,"2007",7565,22221
"NSW","Sydney",-33.87,151.21,"2008",7661,21915
"NSW","Sydney",-33.87,151.21,"2009",7192,20124
"NSW","Sydney",-33.87,151.21,"2010",6925,19671
"NSW","Sydney",-33.87,151.21,"2011",7915,21919
"NSW","Sydney",-33.87,151.21,"2012",7700,22050
"NSW","Sydney",-33.87,151.21,"2013",7707,20806
"NSW","Sydney",-33.87,151.21,"2014",8424,23135
"NSW","Sydney",-33.87,151.21,"2015",8622,23662
"NSW","Sydney",-33.87,151.21,"2016",8878,23010
"NSW","Sydney",-33.87,151.21,"2017",9455,26152
"NSW","Sydney",-33.87,151.21,"2018",10534,28129
"NSW","Sydney",-33.87,151.21,"2019",11968,32469
"NSW","Sydney",-33.87,151.21,"2020",9618,27606
"NSW","Sydney",-33.87,151.21,"2021",6518,19910
"NSW","Sydney",-33.87,151.21,"2022",6417,18820
"NSW","Sydney",-33.87,151.21,"2023",10728,30113
"NSW","Sydney",-33.87,151.21,"2024",11015,31527
"NSW","Blue Mountains",-33.7,150.3,"2001",789,1792
"NSW","Blue Mountains",-33.7,150.3,"2002",762,1537
"NSW","Blue Mountains",-33.7,150.3,"2003",667,1361
"NSW","Blue Mountains",-33.7,150.3,"2004",628,1391
"NSW","Blue Mountains",-33.7,150.3,"2005",565,1385
"NSW","Blue Mountains",-33.7,150.3,"2006",644,1493
"NSW","Blue Mountains",-33.7,150.3,"2007",690,1592
"NSW","Blue Mountains",-33.7,150.3,"2008",649,1526
"NSW","Blue Mountains",-33.7,150.3,"2009",619,1428
"NSW","Blue Mountains",-33.7,150.3,"2010",612,1439
"NSW","Blue Mountains",-33.7,150.3,"2011",701,1785
"NSW","Blue Mountains",-33.7,150.3,"2012",721,1663
"NSW","Blue Mountains",-33.7,150.3,"2013",703,1830
"NSW","Blue Mountains",-33.7,150.3,"2014",800,1768
"NSW","Blue Mountains",-33.7,150.3,"2015",863,2065
"NSW","Blue Mountains",-33.7,150.3,"2016",945,2214
"NSW","Blue Mountains",-33.7,150.3,"2017",967,2277
"NSW","Blue Mountains",-33.7,150.3,"2018",1108,2515
"NSW","Blue Mountains",-33.7,150.3,"2019",1291,2776
"NSW","Blue Mountains",-33.7,150.3,"2020",965,2372
"NSW","Blue Mountains",-33.7,150.3,"2021",1287,2912
"NSW","Blue Mountains",-33.7,150.3,"2022",976,2671
"NSW","Blue Mountains",-33.7,150.3,"2023",1293,3171
"NSW","Blue Mountains",-33.7,150.3,"2024",1213,2804
"NSW","Capital Country",-35.2809,149.13,"2001",994,2195
"NSW","Capital Country",-35.2809,149.13,"2002",978,2050
"NSW","Capital Country",-35.2809,149.13,"2003",997,2438
"NSW","Capital Country",-35.2809,149.13,"2004",982,2184
"NSW","Capital Country",-35.2809,149.13,"2005",908,2637
"NSW","Capital Country",-35.2809,149.13,"2006",799,1772
"NSW","Capital Country",-35.2809,149.13,"2007",877,2094
"NSW","Capital Country",-35.2809,149.13,"2008",903,2067
"NSW","Capital Country",-35.2809,149.13,"2009",867,2162
"NSW","Capital Country",-35.2809,149.13,"2010",998,2256
"NSW","Capital Country",-35.2809,149.13,"2011",997,2327
"NSW","Capital Country",-35.2809,149.13,"2012",1064,2447
"NSW","Capital Country",-35.2809,149.13,"2013",1045,2590
"NSW","Capital Country",-35.2809,149.13,"2014",1090,2511
"NSW","Capital Country",-35.2809,149.13,"2015",1026,2509
"NSW","Capital Country",-35.2809,149.13,"2016",1295,3025
"NSW","Capital Country",-35.2809,149.13,"2017",1184,2728
"NSW","Capital Country",-35.2809,149.13,"2018",1467,3257
"NSW","Capital Country",-35.2809,149.13,"2019",1611,3523
"NSW","Capital Country",-35.2809,149.13,"2020",1383,3413
"NSW","Capital Country",-35.2809,149.13,"2021",1575,3723
"NSW","Capital Country",-35.2809,149.13,"2022",1200,2894
"NSW","Capital Country",-35.2809,149.13,"2023",1599,3522
"NSW","Capital Country",-35.2809,149.13,"2024",1848,4226
"NSW","Central Coast",-33.42,151.3,"2001",1381,3872
"NSW","Central Coast",-33.42,151.3,"2002",1430,3304
"NSW","Central Coast",-33.42,151.3,"2003",1493,4372
"NSW","Central Coast",-33.42,151.3,"2004",1612,4360
"NSW","Central Coast",-33.42,151.3,"2005",1318,3451
"NSW","Central Coast",-33.42,151.3,"2006",1323,4011
"NSW","Central Coast",-33.42,151.3,"2007",1353,4112
"NSW","Central Coast",-33.42,151.3,"2008",1251,3776
"NSW","Central Coast",-33.42,151.3,"2009",1168,3433
"NSW","Central Coast",-33.42,151.3,"2010",1135,3235
"NSW","Central Coast",-33.42,151.3,"2011",1237,3774
"NSW","Central Coast",-33.42,151.3,"2012",1139,3375
"NSW","Central Coast",-33.42,151.3,"2013",1381,4114
"NSW","Central Coast",-33.42,151.3,"2014",1296,3504
"NSW","Central Coast",-33.42,151.3,"2015",1199,3459
"NSW","Central Coast",-33.42,151.3,"2016",1253,3348
"NSW","Central Coast",-33.42,151.3,"2017",1390,3879
"NSW","Central Coast",-33.42,151.3,"2018",1505,4100
"NSW","Central Coast",-33.42,151.3,"2019",1737,4458
"NSW","Central Coast",-33.42,151.3,"2020",1445,3880
"NSW","Central Coast",-33.42,151.3,"2021",1699,4332
"NSW","Central Coast",-33.42,151.3,"2022",1422,4359
"NSW","Central Coast",-33.42,151.3,"2023",1686,4257
"NSW","Central Coast",-33.42,151.3,"2024",1917,5056
"NSW","Central NSW",-32,148,"2001",1818,4703
"NSW","Central NSW",-32,148,"2002",2122,5553
"NSW","Central NSW",-32,148,"2003",2149,5558
"NSW","Central NSW",-32,148,"2004",2202,5371
"NSW","Central NSW",-32,148,"2005",2008,5480
"NSW","Central NSW",-32,148,"2006",1847,4971
"NSW","Central NSW",-32,148,"2007",1842,4945
"NSW","Central NSW",-32,148,"2008",1812,4986
"NSW","Central NSW",-32,148,"2009",1650,4634
"NSW","Central NSW",-32,148,"2010",1632,4552
"NSW","Central NSW",-32,148,"2011",1697,4574
"NSW","Central NSW",-32,148,"2012",1953,5474
"NSW","Central NSW",-32,148,"2013",1872,5613
"NSW","Central NSW",-32,148,"2014",1725,4375
"NSW","Central NSW",-32,148,"2015",1989,5133
"NSW","Central NSW",-32,148,"2016",2071,5806
"NSW","Central NSW",-32,148,"2017",2333,6357
"NSW","Central NSW",-32,148,"2018",2739,8095
"NSW","Central NSW",-32,148,"2019",2985,7083
"NSW","Central NSW",-32,148,"2020",2117,5754
"NSW","Central NSW",-32,148,"2021",2839,7737
"NSW","Central NSW",-32,148,"2022",2051,5748
"NSW","Central NSW",-32,148,"2023",2664,7471
"NSW","Central NSW",-32,148,"2024",2702,6872
"NSW","Hunter",-32.93,151.78,"2001",2940,8012
"NSW","Hunter",-32.93,151.78,"2002",2835,7977
"NSW","Hunter",-32.93,151.78,"2003",2860,8209
"NSW","Hunter",-32.93,151.78,"2004",2825,7689
"NSW","Hunter",-32.93,151.78,"2005",2581,7327
"NSW","Hunter",-32.93,151.78,"2006",2662,7985
"NSW","Hunter",-32.93,151.78,"2007",2736,8011
"NSW","Hunter",-32.93,151.78,"2008",2797,8540
"NSW","Hunter",-32.93,151.78,"2009",2514,7320
"NSW","Hunter",-32.93,151.78,"2010",2774,7805
"NSW","Hunter",-32.93,151.78,"2011",2945,8082
"NSW","Hunter",-32.93,151.78,"2012",2685,7628
"NSW","Hunter",-32.93,151.78,"2013",2862,7895
"NSW","Hunter",-32.93,151.78,"2014",2852,7597
"NSW","Hunter",-32.93,151.78,"2015",3094,8664
"NSW","Hunter",-32.93,151.78,"2016",3229,8344
"NSW","Hunter",-32.93,151.78,"2017",3345,8643
"NSW","Hunter",-32.93,151.78,"2018",3873,10026
"NSW","Hunter",-32.93,151.78,"2019",4490,12069
"NSW","Hunter",-32.93,151.78,"2020",3467,9541
"NSW","Hunter",-32.93,151.78,"2021",3886,10871
"NSW","Hunter",-32.93,151.78,"2022",3057,8803
"NSW","Hunter",-32.93,151.78,"2023",4544,12019
"NSW","Hunter",-32.93,151.78,"2024",4822,13277
"NSW","New England North West",-30.2976,151.0436,"2001",1449,4442
