"state","type","year","trips"
"NSW","Capital","2001",10613
"NSW","Capital","2002",10277
"NSW","Capital","2003",10151
"NSW","Capital","2004",10103
"NSW","Capital","2005",9326
"NSW","Capital","2006",9685
"NSW","Capital","2007",9445
"NSW","Capital","2008",9600
"NSW","Capital","2009",9087
"NSW","Capital","2010",8937
"NSW","Capital","2011",9667
"NSW","Capital","2012",9579
"NSW","Capital","2013",9756
"NSW","Capital","2014",10604
"NSW","Capital","2015",10841
"NSW","Capital","2016",11396
"NSW","Capital","2017",12109
"NSW","Capital","2018",13299
"NSW","Capital","2019",14872
"NSW","Capital","2020",12103
"NSW","Capital","2021",8722
"NSW","Capital","2022",8294
"NSW","Capital","2023",13834
"NSW","Capital","2024",14139
"NSW","regional","2001",18724
"NSW","regional","2002",19380
"NSW","regional","2003",19753
"NSW","regional","2004",19295
"NSW","regional","2005",18024
"NSW","regional","2006",17253
"NSW","regional","2007",17605
"NSW","regional","2008",17372
"NSW","regional","2009",16242
"NSW","regional","2010",16877
"NSW","regional","2011",17414
"NSW","regional","2012",17207
"NSW","regional","2013",17972
"NSW","regional","2014",18463
"NSW","regional","2015",19227
"NSW","regional","2016",20401
"NSW","regional","2017",21369
"NSW","regional","2018",23861
"NSW","regional","2019",26081
"NSW","regional","2020",21416
"NSW","regional","2021",24255
"NSW","regional","2022",19024
"NSW","regional","2023",26362
"NSW","regional","2024",27010
"VIC","Capital","2001",6345
"VIC","Capital","2002",6151
"VIC","Capital","2003",6432
"VIC","Capital","2004",6078
"VIC","Capital","2005",5957
"VIC","Capital","2006",6548
"VIC","Capital","2007",6207
"VIC","Capital","2008",6666
"VIC","Capital","2009",6487
"VIC","Capital","2010",6470
"VIC","Capital","2011",6723
"VIC","Capital","2012",6854
"VIC","Capital","2013",7050
"VIC","Capital","2014",7539
"VIC","Capital","2015",7942
"VIC","Capital","2016",8200
"VIC","Capital","2017",8746
"VIC","Capital","2018",9825
"VIC","Capital","2019",11045
"VIC","Capital","2020",8413
"VIC","Capital","2021",3769
"VIC","Capital","2022",5400
"VIC","Capital","2023",9830
"VIC","Capital","2024",10301
"VIC","regional","2001",12294
"VIC","regional","2002",12331
"VIC","regional","2003",12467
"VIC","regional","2004",12315
"VIC","regional","2005",11661
"VIC","regional","2006",11278
"VIC","regional","2007",11271
"VIC","regional","2008",11513
"VIC","regional","2009",10296
"VIC","regional","2010",10566
"VIC","regional","2011",10822
"VIC","regional","2012",11590
"VIC","regional","2013",11375
"VIC","regional","2014",12337
"VIC","regional","2015",12830
"VIC","regional","2016",13635
"VIC","regional","2017",15323
"VIC","regional","2018",16460
"VIC","regional","2019",18725
"VIC","regional","2020",14829
"VIC","regional","2021",13194
"VIC","regional","2022",14894
"VIC","regional","2023",18719
"VIC","regional","2024",18907
"QLD","Capital","2001",4463
"QLD","Capital","2002",4475
"QLD","Capital","2003",4565
"QLD","Capital","2004",4756
"QLD","Capital","2005",4720
"QLD","Capital","2006",4612
"QLD","Capital","2007",4776
"QLD","Capital","2008",4769
"QLD","Capital","2009",4759
"QLD","Capital","2010",4382
"QLD","Capital","2011",5304
"QLD","Capital","2012",5017
"QLD","Capital","2013",5107
"QLD","Capital","2014",5452
"QLD","Capital","2015",5786
"QLD","Capital","2016",5864
"QLD","Capital","2017",6552
"QLD","Capital","2018",6897
"QLD","Capital","2019",7490
"QLD","Capital","2020",6202
"QLD","Capital","2021",5452
"QLD","Capital","2022",5623
"QLD","Capital","2023",7211
"QLD","Capital","2024",7549
"QLD","regional","2001",12085
"QLD","regional","2002",12498
"QLD","regional","2003",12819
"QLD","regional","2004",12474
"QLD","regional","2005",13081
"QLD","regional","2006",12648
"QLD","regional","2007",13614
"QLD","regional","2008",13395
"QLD","regional","2009",12249
"QLD","regional","2010",12346
"QLD","regional","2011",12034
"QLD","regional","2012",13642
